Month,diabetes_trend,malaria_trend
2020-01,87.16129032258064,11.258064516129032
2020-02,88.93103448275862,12.241379310344827
2020-03,68.38709677419355,25.967741935483872
2020-04,87.7,21.6
2020-05,86.48387096774194,12.709677419354838
2020-06,87.23333333333333,9.8
2020-07,92.51612903225806,10.580645161290322
2020-08,93.19354838709675,12.258064516129032
2020-09,89.03333333333333,10.433333333333334
2020-10,87.80645161290323,10.35483870967742
2020-11,74.83333333333333,8.066666666666666
2020-12,85.06451612903226,9.580645161290322
2021-01,88.03225806451613,8.774193548387096
2021-02,85.67857142857143,8.357142857142858
2021-03,89.41935483870968,9.35483870967742
2021-04,86.66666666666667,11.066666666666666
2021-05,89.29032258064517,9.258064516129032
2021-06,89.93333333333334,9.433333333333334
2021-07,86.96774193548387,9.774193548387096
2021-08,88.93548387096774,10.548387096774194
2021-09,89.5,11.433333333333334
2021-10,85.3225806451613,13.161290322580646
2021-11,82.23333333333333,9.3
2021-12,81.06451612903226,9.67741935483871
2022-01,43.774193548387096,5.451612903225806
2022-02,86.71428571428571,11.0
2022-03,91.38709677419357,11.741935483870968
2022-04,90.6,12.3
2022-05,86.6774193548387,11.193548387096774
2022-06,86.86666666666666,11.266666666666667
2022-07,91.25806451612904,12.580645161290322
2022-08,88.48387096774194,11.903225806451612
2022-09,88.86666666666666,13.066666666666666
2022-10,87.58064516129032,12.870967741935484
2022-11,63.36666666666667,8.333333333333334
2022-12,81.70967741935483,10.387096774193548
2023-01,89.03225806451613,10.903225806451612
2023-02,88.21428571428571,10.821428571428571
2023-03,90.83870967741936,11.35483870967742
2023-04,84.03333333333333,11.833333333333334
2023-05,90.41935483870968,12.161290322580646
2023-06,89.26666666666667,13.766666666666667
2023-07,90.6774193548387,15.161290322580646
2023-08,91.83870967741936,13.838709677419354
2023-09,86.66666666666667,12.933333333333334
2023-10,83.6774193548387,12.387096774193548
2023-11,63.1,8.166666666666666
2023-12,83.38709677419355,10.741935483870968
2024-01,84.38709677419355,11.064516129032258
2024-02,90.10344827586206,11.758620689655173
2024-03,88.7741935483871,11.129032258064516
2024-04,89.36666666666666,12.1
2024-05,87.51612903225806,11.806451612903226
2024-06,88.43333333333334,11.233333333333333
2024-07,90.93548387096774,12.580645161290322
2024-08,83.06451612903226,11.612903225806452
2024-09,89.8,12.533333333333331
2024-10,89.38709677419355,12.03225806451613
2024-11,67.33333333333333,8.466666666666667
2024-12,80.3225806451613,10.129032258064516
2025-01,89.87096774193549,10.612903225806452
2025-02,90.17857142857144,10.964285714285714
2025-03,89.96774193548387,10.580645161290322
2025-04,70.8,8.8
2025-05,86.45161290322581,10.580645161290322
2025-06,86.1,10.4
2025-07,78.28571428571429,9.928571428571429
