locality,orgname,count
VRA,weija,1
NSUFA,weija,1
GLORYLAND,weija,1
HACHO,weija,1
MCCARTYH,weija,1
WIJA,weija,1
GPRTU,weija,1
ADBRAKA,weija,1
GAPE,weija,1
AMANFR,weija,1
AOLAKU,weija,1
JOEMAN,weija,1
SEKONDI,weija,1
KWASSHIEBU,weija,1
DOBRUO,weija,1
KWASHEIMAN,weija,1
AWOSHIEOYINASE,weija,1
GBAWA,weija,1
AMANFO,weija,1
AWOSIHE,weija,1
OBULEME,weija,1
OSHIEE,weija,1
AWORSHIE,weija,1
MANGO,weija,1
BENJIS,weija,1
BENJES,weija,1
TADISCO,weija,1
CIRCLE,weija,1
ESEC,weija,1
WEIA,weija,1
BRODCASTING,weija,1
CENTRAL,weija,1
KASOAOTAMENS,weija,1
CHAABA,weija,1
SWUEDURO,weija,1
AYINMORO,weija,1
BECHEM,weija,1
SUTESCO,weija,1
ALTICO,weija,1
SECONDI,weija,1
RESURRECTION,weija,1
TSOKOME,weija,1
KOLEGONOR,weija,1
WINNEBA,weija,1
TIETOP,weija,1
NKWANTA,weija,1
MIM,weija,1
LATEBIOKWASHIE,weija,1
WAWASE,weija,1
TAITOP,weija,1
PANTANG,weija,1
NTNSC,weija,1
SOWUTEIM,weija,1
WESTHILL,weija,1
LAPEZ,weija,1
ACHIASE,weija,1
AKOTI,weija,1
WEIJAA,weija,1
OTEBU,weija,1
ASAAFA,weija,1
JAYEE,weija,1
OBOM,weija,1
AMANSEMAN,weija,1
MANPROBI,weija,1
MANTAHEKO,weija,1
MAMPONTENG,weija,1
BREGADE,weija,1
MYELEVYN,weija,1
ABURA,weija,1
KWASIHEMAN,weija,1
NEWBORTIANOR,weija,1
NKWANTANANG,weija,1
MALLAMAFTER,weija,1
MALLAMJUNCTION,weija,1
ANTY,weija,1
ACADEMY,weija,1
ABLKUMA,weija,1
SOWTUOWUM,weija,1
OFAARKOR,weija,1
APLKU,weija,1
BINTU,weija,1
BENJS,weija,1
SANT,weija,1
ASHUMAN,weija,1
GBAWW,weija,1
SOUTOWOUM,weija,1
MCCARTTHY,weija,1
TELLE,weija,1
KLAGONE,weija,1
MANHEA,weija,1
DORMIABRA,weija,1
ANYA,weija,1
ONYINASE,weija,1
PAMBROS,weija,1
MANGOLANE,weija,1
KWAERSHIMAN,weija,1
BROADCASTNG,weija,1
WHITECROSS,weija,1
AVENOR,weija,1
MCCARTHYHILL,weija,1
MALLAMBORLA,weija,1
CHABAA,weija,1
BORTAINOR,weija,1
FETE,weija,1
FROM,weija,1
KOKOROKO,weija,1
LATEBIOKOSHI,weija,1
LAKESIDE,weija,1
BARIER,weija,1
BUSSIA,weija,1
BERMA,weija,1
AGGREY,weija,1
JAMA,weija,1
AKAWEY,weija,1
OTUAPRE,weija,1
GBAEW,weija,1
KPOKROBITE,weija,1
MENZKROM,weija,1
KONKOMA,weija,1
SEDAS,weija,1
EMPIRE,weija,1
SANTAMARIA,weija,1
ACC,weija,1
WINGER,weija,1
MAYERA,weija,1
TIMBER,weija,1
BANANA,weija,1
PAPAASE,weija,1
ADAKO,weija,1
BLOCKCASTING,weija,1
MACARTHEY,weija,1
LOWER,weija,1
NBT,weija,1
AHYIA,weija,1
DAWHENYA,weija,1
BOGOSO,weija,1
BUBUESHIE,weija,1
ADJASCO,weija,1
MCATHY,weija,1
OFORKOR,weija,1
BODOMASI,weija,1
APLUKU,weija,1
MAHIA,weija,1
TOMEFA,weija,1
